,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature,MolLogP_solute,MolMR_solute,TPSA_solute,MolWt_solute,LabuteASA_solute,MaxPartialCharge_solute,MinPartialCharge_solute,NumHBA_solute,NumHBD_solute,MolLogP_solvent,MolMR_solvent,TPSA_solvent,MolWt_solvent,LabuteASA_solvent,MaxPartialCharge_solvent,MinPartialCharge_solvent,NumHBA_solvent,NumHBD_solvent,PEOE_VSA1_solute,PEOE_VSA2_solute,PEOE_VSA3_solute,PEOE_VSA4_solute,PEOE_VSA5_solute,PEOE_VSA6_solute,PEOE_VSA7_solute,PEOE_VSA8_solute,PEOE_VSA9_solute,PEOE_VSA10_solute,PEOE_VSA11_solute,PEOE_VSA12_solute,PEOE_VSA13_solute,PEOE_VSA14_solute,PEOE_VSA1_solvent,PEOE_VSA2_solvent,PEOE_VSA3_solvent,PEOE_VSA4_solvent,PEOE_VSA5_solvent,PEOE_VSA6_solvent,PEOE_VSA7_solvent,PEOE_VSA8_solvent,PEOE_VSA9_solvent,PEOE_VSA10_solvent,PEOE_VSA11_solvent,PEOE_VSA12_solvent,PEOE_VSA13_solvent,PEOE_VSA14_solvent,gamma_solute_0.1_0.9,gamma_inf_solute,gamma_inf_solvent,gamma_solute_0.2_0.8,gamma_solvent_0.8_0.2,gamma_solvent_0.9_0.1,Joback_Hfus_solute,Joback_Hvap_solute,Joback_Tm_solute,Joback_Tb_solute,Joback_Hfus_solvent,Joback_Hvap_solvent,Joback_Tm_solvent,Joback_Tb_solvent
6,Brc1ccc(NC2=NCCC3(CCCCC3)S2)cc1,CCCCCC,JJTKWHFXFHXKHI-UHFFFAOYSA-N,VLKZOEOYAKHREP-UHFFFAOYSA-N,-4.480172006224281,298.15,5.0568000000000035,88.09070000000003,24.39,339.302,127.14006214248276,0.16107644832852208,-0.3349914099656722,3,1,2.5866000000000007,29.81599999999998,0.0,86.178,40.563961599812586,-0.05357870225236844,-0.06538238459812357,0,0,5.316788604006331,4.992404732635669,0.0,0.0,0.0,46.95429371611849,43.52793314262447,21.45188464964611,0.0,0.0,5.167651769578048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.53076089108528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24443054578855966,0.3777735452861705,0.1715469917888807,0.1578724426117321,0.13886531131588792,0.15580191723828463,21883.000000000004,71495.0,550.8600000000001,774.1800000000001,11296.0,28950.000000000004,157.38,336.88
7,Brc1cn[nH]c1,CCO,WVGCPEDBFHEHEZ-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-0.4698496861408812,298.15,1.1722,26.287699999999997,28.68,146.975,43.69621269550386,0.06291475576578681,-0.28457462139169376,1,1,-0.0014000000000000123,12.759800000000002,20.23,46.069,19.89842689442217,0.04022058174908642,-0.3966637147812598,1,1,0.0,5.098681808301038,0.0,5.098681808301038,0.0,0.0,15.929943897949348,6.196843571613076,10.66956308744549,0.0,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.07841895958529348,0.11165418646357282,0.05133215795176782,0.053375529975890464,0.04617983615014257,0.049874908795109835,16064.0,40428.0,352.1,428.89,5024.0,36725.0,173.12,337.53999999999996
8,Brc1cn[nH]c1,CO,WVGCPEDBFHEHEZ-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-0.506179673927503,298.15,1.1722,26.287699999999997,28.68,146.975,43.69621269550386,0.06291475576578681,-0.28457462139169376,1,1,-0.3915,8.1428,20.23,32.042,13.533484780025564,0.031940683717728124,-0.3996302435573072,1,1,0.0,5.098681808301038,0.0,5.098681808301038,0.0,0.0,15.929943897949348,6.196843571613076,10.66956308744549,0.0,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,7.109797541277533,0.0,0.0,0.0,0.0,0.0,0.0,0.6826621385174644,0.8166714368703304,1.2859879588849814,0.5631176440198935,0.5906420237576405,0.8530518157450039,16064.0,40428.0,352.1,428.89,2434.0,34499.0,161.85,314.65999999999997
9,Brc1sc(Br)c(Br)c1Br,CCO,AVPWUAFYDNQGNZ-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.3977687611970433,298.15,4.7981,55.119,0.0,399.72700000000003,90.54195681247388,0.08637903820441156,-0.11874808603651521,1,0,-0.0014000000000000123,12.759800000000002,20.23,46.069,19.89842689442217,0.04022058174908642,-0.3966637147812598,1,1,0.0,0.0,0.0,0.0,11.336785877934737,0.0,63.719775591797394,0.0,16.518269467338264,0.0,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.14361808245256694,0.1640645554707649,0.225095168920615,0.12287489107067331,0.13027316368823447,0.17360369743787446,15089.0,47611.99999999999,376.15,517.74,5024.0,36725.0,173.12,337.53999999999996
10,Brc1sc(Br)c(Br)c1Br,ClC(Cl)Cl,AVPWUAFYDNQGNZ-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,-2.625326981009063,298.15,4.7981,55.119,0.0,399.72700000000003,90.54195681247388,0.08637903820441156,-0.11874808603651521,1,0,1.9864,21.346999999999998,0.0,119.37800000000001,39.64904970847457,0.18010663547779673,-0.08741152777904436,0,0,0.0,0.0,0.0,0.0,11.336785877934737,0.0,63.719775591797394,0.0,16.518269467338264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.802819670697545,0.0,0.0,0.0,0.0,4.2954515122943855,0.0,0.0,0.0,0.2862030720779909,0.512184451354867,0.17138337530065706,0.16787841712625576,0.14636169056569492,0.15965097463731154,15089.0,47611.99999999999,376.15,517.74,7414.000000000001,30587.000000000004,175.79000000000002,334.33000000000004
11,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C1CCCCC1,PHNUZKMIPFFYSO-UHFFFAOYSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,-3.3716110699496884,298.15,3.1350000000000016,66.84020000000002,29.1,256.132,104.93819793515104,0.2520486330099327,-0.336269374203541,1,1,2.3406000000000002,27.701999999999984,0.0,84.162,39.55813044628337,-0.0533059727891157,-0.0533059727891157,0,0,5.316788604006331,4.794537184071822,0.0,0.0,6.423349895620259,29.122314099320675,32.046575604766076,15.608718119179649,5.538925252383345,0.0,0.0,0.0,5.907179729351506,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24048703147979086,0.40188261297392386,0.148110959890218,0.145564655631586,0.12571574279878647,0.13762981449329642,23570.0,57242.99999999999,377.22,583.56,2060.0,29688.000000000004,169.0,361.09999999999997
12,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CC(C)O,PHNUZKMIPFFYSO-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.151810883008601,298.15,3.1350000000000016,66.84020000000002,29.1,256.132,104.93819793515104,0.2520486330099327,-0.336269374203541,1,1,0.38710000000000006,17.354800000000004,20.23,60.096000000000004,26.263369008818774,0.04834761180869219,-0.3937069016405105,1,1,5.316788604006331,4.794537184071822,0.0,0.0,6.423349895620259,29.122314099320675,32.046575604766076,15.608718119179649,5.538925252383345,0.0,0.0,0.0,5.907179729351506,0.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,13.847474399381248,6.103966387748303,0.0,0.0,0.0,0.0,0.0,0.0,-0.20107598468550386,-0.2993868151585119,-0.15614490096898417,-0.13464514214840256,-0.12101947574901782,-0.13877827183985883,23570.0,57242.99999999999,377.22,583.56,4091.0,38563.0,169.39,359.97999999999996
13,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CCO,PHNUZKMIPFFYSO-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.883724412419456,298.15,3.1350000000000016,66.84020000000002,29.1,256.132,104.93819793515104,0.2520486330099327,-0.336269374203541,1,1,-0.0014000000000000123,12.759800000000002,20.23,46.069,19.89842689442217,0.04022058174908642,-0.3966637147812598,1,1,5.316788604006331,4.794537184071822,0.0,0.0,6.423349895620259,29.122314099320675,32.046575604766076,15.608718119179649,5.538925252383345,0.0,0.0,0.0,5.907179729351506,0.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,-0.40141807676123625,-0.642149174983051,-0.2768925987283451,-0.25297508675674446,-0.22341455775303792,-0.2508140044737356,23570.0,57242.99999999999,377.22,583.56,5024.0,36725.0,173.12,337.53999999999996
14,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CO,PHNUZKMIPFFYSO-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.9072793553159009,298.15,3.1350000000000016,66.84020000000002,29.1,256.132,104.93819793515104,0.2520486330099327,-0.336269374203541,1,1,-0.3915,8.1428,20.23,32.042,13.533484780025564,0.031940683717728124,-0.3996302435573072,1,1,5.316788604006331,4.794537184071822,0.0,0.0,6.423349895620259,29.122314099320675,32.046575604766076,15.608718119179649,5.538925252383345,0.0,0.0,0.0,5.907179729351506,0.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,7.109797541277533,0.0,0.0,0.0,0.0,0.0,0.0,0.8199856860179722,1.118604084851202,0.995843150495828,0.6135781980729479,0.608776868828968,0.7811499447943757,23570.0,57242.99999999999,377.22,583.56,2434.0,34499.0,161.85,314.65999999999997
15,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,Cc1ccccc1,PHNUZKMIPFFYSO-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-2.330683119433888,298.15,3.1350000000000016,66.84020000000002,29.1,256.132,104.93819793515104,0.2520486330099327,-0.336269374203541,1,1,1.99502,31.17899999999999,0.0,92.14099999999999,43.79634523389357,-0.039774526323627504,-0.06224908578199481,0,0,5.316788604006331,4.794537184071822,0.0,0.0,6.423349895620259,29.122314099320675,32.046575604766076,15.608718119179649,5.538925252383345,0.0,0.0,0.0,5.907179729351506,0.0,0.0,0.0,0.0,0.0,0.0,35.89528683400505,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05960297173652796,-0.08973698439001154,-0.04197242266226395,-0.03903575587874037,-0.0341516364456027,-0.03823990822476653,23570.0,57242.99999999999,377.22,583.56,5533.0,30393.0,158.05,355.43
